id,gender,has_car_and_property,income_type,education_type,family_status,housing_type,occupation_type,amount_income_total
5776470,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
5465471,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,180000.0
5021291,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,180000.0
5917999,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
5224250,Male,1,Commercial associate,Higher education,Civil marriage,With parents,Core staff,180000.0
5125880,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,180000.0
6292203,Female,1,Commercial associate,Incomplete higher,Civil marriage,House / apartment,High skill tech staff,180000.0
5680888,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
6292199,Female,1,Commercial associate,Incomplete higher,Civil marriage,House / apartment,High skill tech staff,180000.0
6367731,Female,1,Commercial associate,Higher education,Married,House / apartment,HR staff,180000.0
6423463,Female,1,Commercial associate,Secondary / secondary special,Single / not married,With parents,Cooking staff,180000.0
5224248,Male,1,Commercial associate,Higher education,Civil marriage,With parents,Core staff,180000.0
5021730,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,180000.0
5464851,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,High skill tech staff,180000.0
6367733,Female,1,Commercial associate,Higher education,Married,House / apartment,HR staff,180000.0
5776471,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
6367734,Female,1,Commercial associate,Higher education,Married,House / apartment,HR staff,180000.0
6670540,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,180000.0
5465271,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
5853865,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
5879164,Female,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,166500.0
6520259,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,166500.0
6759163,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,166500.0
6471954,Male,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,157500.0
6239756,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,157500.0
6471945,Male,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,157500.0
6780111,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,157500.0
6068621,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,157500.0
5580282,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,157500.0
6248432,Female,1,Commercial associate,Incomplete higher,Married,House / apartment,Sales staff,157500.0
6837214,Male,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Security staff,157500.0
5797204,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,157500.0
5888816,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,157500.0
6115561,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,157500.0
6233766,Female,1,Commercial associate,Incomplete higher,Single / not married,Municipal apartment,Sales staff,157500.0
7115561,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,157500.0
5453524,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,157500.0
6272721,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,157500.0
6068619,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,157500.0
5580280,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,157500.0
5453525,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,157500.0
6331958,Female,1,Commercial associate,Higher education,Married,House / apartment,Medicine staff,157500.0
5453526,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,157500.0
6519150,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,157500.0
5580281,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,157500.0
6471948,Male,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,157500.0
5993436,Male,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,157500.0
6042444,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,148500.0
5808200,Male,1,Commercial associate,Incomplete higher,Single / not married,House / apartment,Sales staff,148500.0
6576015,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,148500.0
6144043,Female,1,Commercial associate,Higher education,Separated,House / apartment,High skill tech staff,135000.0
5061701,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,135000.0
5062542,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Medicine staff,135000.0
5707239,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,135000.0
6801146,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,135000.0
6054343,Female,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,High skill tech staff,135000.0
6088955,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,135000.0
5892014,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,135000.0
5062540,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Medicine staff,135000.0
6801136,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,135000.0
5061705,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,135000.0
5857408,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,135000.0
6050932,Female,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Core staff,135000.0
6801135,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,135000.0
6636399,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,135000.0
6801138,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,135000.0
5707235,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,135000.0
6801149,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,135000.0
5857410,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,135000.0
5062537,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Medicine staff,135000.0
5892018,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,135000.0
6054345,Female,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,High skill tech staff,135000.0
5061698,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,135000.0
6578057,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,112500.0
5943129,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,112500.0
5957441,Male,1,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Core staff,112500.0
5948778,Female,1,Commercial associate,Incomplete higher,Married,House / apartment,Private service staff,112500.0
5029458,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,112500.0
6006681,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,112500.0
5029464,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,112500.0
6162749,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,112500.0
5236527,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
5943132,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,112500.0
5943134,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,112500.0
5995582,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,112500.0
6638164,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
5975662,Female,1,Commercial associate,Incomplete higher,Married,House / apartment,Private service staff,112500.0
5029467,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,112500.0
5970842,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,112500.0
5344114,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,112500.0
6162750,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,112500.0
6472118,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,112500.0
5029463,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,112500.0
5029461,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,112500.0
5029460,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,112500.0
6499325,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,112500.0
5236532,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
6638162,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
5236531,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
5029466,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,112500.0
5943135,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,112500.0
5125182,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,112500.0
6357419,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,108000.0
6357418,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,108000.0
6575994,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,94500.0
6575998,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,94500.0
6575993,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,94500.0
6575996,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,94500.0
6099167,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,90000.0
5178342,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,90000.0
5113416,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,90000.0
5857273,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,90000.0
6242800,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,90000.0
5178336,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,90000.0
5113414,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,90000.0
5857276,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,90000.0
5857274,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,90000.0
6082099,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,76500.0
5169175,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,67500.0
7169172,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,67500.0
5169180,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,67500.0
6153998,Male,1,Pensioner,Secondary / secondary special,Married,Municipal apartment,Core staff,270000.0
6235217,Female,1,State servant,Higher education,Separated,House / apartment,Core staff,900000.0
6235211,Female,1,State servant,Higher education,Separated,House / apartment,Core staff,900000.0
5416532,Male,1,State servant,Higher education,Married,House / apartment,Core staff,585000.0
5416531,Male,1,State servant,Higher education,Married,House / apartment,Core staff,585000.0
5416525,Male,1,State servant,Higher education,Married,House / apartment,Core staff,585000.0
5416528,Male,1,State servant,Higher education,Married,House / apartment,Core staff,585000.0
5861067,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,540000.0
5861072,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,540000.0
5861069,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,540000.0
6233392,Male,1,State servant,Higher education,Married,Office apartment,HR staff,450000.0
6594563,Male,1,State servant,Higher education,Married,House / apartment,High skill tech staff,450000.0
6233389,Male,1,State servant,Higher education,Married,Office apartment,HR staff,450000.0
5009075,Female,1,State servant,Higher education,Married,House / apartment,Core staff,450000.0
6046953,Male,1,State servant,Higher education,Single / not married,House / apartment,Core staff,450000.0
6586789,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
6138708,Female,1,State servant,Incomplete higher,Married,House / apartment,Core staff,405000.0
7586793,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
6586790,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
6472599,Female,1,State servant,Higher education,Married,House / apartment,Core staff,360000.0
5089943,Female,1,State servant,Higher education,Married,House / apartment,Core staff,360000.0
6689239,Female,1,State servant,Higher education,Separated,House / apartment,Medicine staff,360000.0
6472597,Female,1,State servant,Higher education,Married,House / apartment,Core staff,360000.0
5907171,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,360000.0
5996441,Female,1,State servant,Higher education,Married,House / apartment,Core staff,337500.0
5996447,Female,1,State servant,Higher education,Married,House / apartment,Core staff,337500.0
5996440,Female,1,State servant,Higher education,Married,House / apartment,Core staff,337500.0
6091284,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,315000.0
6132457,Female,1,State servant,Higher education,Married,Rented apartment,Core staff,315000.0
6132458,Female,1,State servant,Higher education,Married,Rented apartment,Core staff,315000.0
6132460,Female,1,State servant,Higher education,Married,Rented apartment,Core staff,315000.0
6132454,Female,1,State servant,Higher education,Married,Rented apartment,Core staff,315000.0
6132462,Female,1,State servant,Higher education,Married,Rented apartment,Core staff,315000.0
6132463,Female,1,State servant,Higher education,Married,Rented apartment,Core staff,315000.0
6132455,Female,1,State servant,Higher education,Married,Rented apartment,Core staff,315000.0
5791961,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,292500.0
5939552,Male,1,State servant,Higher education,Single / not married,House / apartment,High skill tech staff,292500.0
6272054,Male,1,State servant,Higher education,Married,House / apartment,Core staff,292500.0
5791959,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,292500.0
5829903,Male,1,State servant,Higher education,Single / not married,House / apartment,High skill tech staff,292500.0
5791960,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,292500.0
5541407,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,270000.0
5541409,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,270000.0
6153916,Male,1,State servant,Higher education,Married,Rented apartment,Core staff,270000.0
6661436,Male,1,State servant,Higher education,Married,House / apartment,Core staff,270000.0
6661435,Male,1,State servant,Higher education,Married,House / apartment,Core staff,270000.0
6630459,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
5062683,Male,1,State servant,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,247500.0
5062687,Male,1,State servant,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,247500.0
6498290,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
6498543,Female,1,State servant,Higher education,Separated,House / apartment,Core staff,247500.0
6498287,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
5062685,Male,1,State servant,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,247500.0
6498285,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
7498288,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
5062689,Male,1,State servant,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,247500.0
6498286,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
6498293,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
6630458,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
6317841,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
6317835,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
5599155,Male,1,State servant,Incomplete higher,Married,Rented apartment,High skill tech staff,243000.0
5599153,Male,1,State servant,Incomplete higher,Married,Rented apartment,High skill tech staff,243000.0
6317850,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
6317855,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
5971422,Female,1,State servant,Higher education,Separated,House / apartment,Core staff,243000.0
6317852,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
5971420,Female,1,State servant,Higher education,Separated,House / apartment,Core staff,243000.0
6317857,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
6317833,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
6317846,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
6317844,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
5971421,Female,1,State servant,Higher education,Separated,House / apartment,Core staff,243000.0
5317853,Female,1,State servant,Higher education,Married,House / apartment,Core staff,234000.0
5317852,Female,1,State servant,Higher education,Married,House / apartment,Core staff,234000.0
5743393,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
6737535,Female,1,State servant,Higher education,Married,House / apartment,Core staff,225000.0
6653004,Female,1,State servant,Higher education,Married,With parents,Core staff,225000.0
6621119,Female,1,State servant,Higher education,Married,House / apartment,Core staff,225000.0
6737534,Female,1,State servant,Higher education,Married,House / apartment,Core staff,225000.0
5929638,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,225000.0
6621124,Female,1,State servant,Higher education,Married,House / apartment,Core staff,225000.0
5061389,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,225000.0
5743401,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
5743395,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
6737539,Female,1,State servant,Higher education,Married,House / apartment,Core staff,225000.0
6653006,Female,1,State servant,Higher education,Married,With parents,Core staff,225000.0
7652997,Female,1,State servant,Higher education,Married,With parents,Core staff,225000.0
5743400,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
6783376,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,225000.0
5056007,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,202500.0
5598595,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,202500.0
5056006,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,202500.0
6772902,Female,1,State servant,Secondary / secondary special,Civil marriage,Office apartment,Medicine staff,202500.0
5598598,Female,1,State servant,Higher education,Single / not married,House / apartment,Core staff,202500.0
5807568,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,202500.0
6772900,Female,1,State servant,Secondary / secondary special,Civil marriage,Office apartment,Medicine staff,202500.0
6772903,Female,1,State servant,Secondary / secondary special,Civil marriage,Office apartment,Medicine staff,202500.0
5069234,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,202500.0
6311287,Female,1,State servant,Higher education,Married,House / apartment,Core staff,202500.0
5384707,Female,1,State servant,Higher education,Married,House / apartment,Core staff,202500.0
6772898,Female,1,State servant,Secondary / secondary special,Civil marriage,Office apartment,Medicine staff,202500.0
5807565,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,202500.0
5807571,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,202500.0
5384698,Female,1,State servant,Higher education,Married,House / apartment,Core staff,202500.0
5384700,Female,1,State servant,Higher education,Married,House / apartment,Core staff,202500.0
5384706,Female,1,State servant,Higher education,Married,House / apartment,Core staff,202500.0
5384705,Female,1,State servant,Higher education,Married,House / apartment,Core staff,202500.0
6138672,Male,1,State servant,Higher education,Married,House / apartment,Core staff,202500.0
6772896,Female,1,State servant,Secondary / secondary special,Civil marriage,Office apartment,Medicine staff,202500.0
6772890,Female,1,State servant,Secondary / secondary special,Civil marriage,Office apartment,Medicine staff,202500.0
6008708,Female,1,State servant,Higher education,Married,House / apartment,Core staff,193500.0
6163133,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
5945665,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,180000.0
5934541,Male,1,State servant,Higher education,Married,House / apartment,Security staff,180000.0
6163130,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
5236097,Female,1,State servant,Higher education,Married,House / apartment,Cooking staff,180000.0
6318705,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,180000.0
5934543,Male,1,State servant,Higher education,Married,House / apartment,Security staff,180000.0
6318706,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,180000.0
5934536,Male,1,State servant,Higher education,Married,House / apartment,Security staff,180000.0
6736636,Male,1,State servant,Higher education,Married,House / apartment,Core staff,180000.0
6835877,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
6835879,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
6736638,Male,1,State servant,Higher education,Married,House / apartment,Core staff,180000.0
6163126,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
6163123,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
5178512,Female,1,State servant,Higher education,Married,House / apartment,Core staff,180000.0
6192654,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
6126326,Female,1,State servant,Secondary / secondary special,Widow,House / apartment,Cooking staff,166500.0
6077504,Male,1,State servant,Higher education,Married,House / apartment,Core staff,162000.0
5680270,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,159300.0
6098521,Female,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
6053518,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,157500.0
6272076,Male,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
6048430,Male,1,State servant,Secondary / secondary special,Married,With parents,Security staff,157500.0
5224684,Male,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
6742141,Female,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
6048433,Male,1,State servant,Secondary / secondary special,Married,With parents,Security staff,157500.0
6053522,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,157500.0
6742146,Female,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
6457007,Female,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
5343786,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,157500.0
6471623,Male,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
6009220,Female,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
6009221,Female,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
6742143,Female,1,State servant,Higher education,Married,House / apartment,Core staff,157500.0
5883006,Female,1,State servant,Higher education,Single / not married,House / apartment,Medicine staff,157500.0
5872564,Female,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,148500.0
5872563,Female,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,148500.0
6670768,Female,1,State servant,Higher education,Married,House / apartment,Core staff,144000.0
5884021,Female,1,State servant,Higher education,Married,House / apartment,IT staff,143100.0
5884017,Female,1,State servant,Higher education,Married,House / apartment,IT staff,143100.0
5884009,Female,1,State servant,Higher education,Married,House / apartment,IT staff,143100.0
5354235,Female,1,State servant,Higher education,Single / not married,House / apartment,High skill tech staff,135000.0
6223583,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,135000.0
5344070,Female,1,State servant,Higher education,Single / not married,House / apartment,High skill tech staff,135000.0
6737797,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,135000.0
5062593,Male,1,State servant,Higher education,Married,House / apartment,Core staff,135000.0
5169487,Female,1,State servant,Higher education,Married,House / apartment,Core staff,135000.0
5169486,Female,1,State servant,Higher education,Married,House / apartment,Core staff,135000.0
5169491,Female,1,State servant,Higher education,Married,House / apartment,Core staff,135000.0
5792047,Male,1,State servant,Incomplete higher,Civil marriage,House / apartment,Core staff,135000.0
5354234,Female,1,State servant,Higher education,Single / not married,House / apartment,High skill tech staff,135000.0
6291744,Female,1,State servant,Higher education,Married,House / apartment,Core staff,135000.0
5416261,Female,1,State servant,Higher education,Civil marriage,House / apartment,Medicine staff,130500.0
5625417,Female,1,State servant,Higher education,Married,House / apartment,Core staff,121500.0
5932073,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,117000.0
5932074,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,117000.0
6618649,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,117000.0
5995826,Female,1,State servant,Higher education,Married,House / apartment,HR staff,112500.0
6779548,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Security staff,94500.0
6779551,Male,1,State servant,Secondary / secondary special,Married,House / apartment,Security staff,94500.0
6233554,Female,1,State servant,Higher education,Married,House / apartment,Core staff,90000.0
5820963,Female,1,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,90000.0
6758751,Female,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,76500.0
5760612,Female,1,Working,Higher education,Married,House / apartment,Sales staff,630000.0
7760616,Female,1,Working,Higher education,Married,House / apartment,Sales staff,630000.0
5760607,Female,1,Working,Higher education,Married,House / apartment,Sales staff,630000.0
5760606,Female,1,Working,Higher education,Married,House / apartment,Sales staff,630000.0
5760615,Female,1,Working,Higher education,Married,House / apartment,Sales staff,630000.0
5760604,Female,1,Working,Higher education,Married,House / apartment,Sales staff,630000.0
6242312,Female,1,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,540000.0
6242325,Female,1,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,540000.0
6242314,Female,1,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,540000.0
6242320,Female,1,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,540000.0
6242322,Female,1,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,540000.0
6837522,Male,1,Working,Higher education,Married,House / apartment,High skill tech staff,450000.0
6837524,Male,1,Working,Higher education,Married,House / apartment,High skill tech staff,450000.0
5939676,Male,1,Working,Higher education,Married,House / apartment,Core staff,427500.0
6241203,Male,1,Working,Higher education,Married,House / apartment,Core staff,427500.0
7939676,Male,1,Working,Higher education,Married,House / apartment,Core staff,427500.0
5929924,Male,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,418500.0
5929928,Male,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,418500.0
5627746,Male,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
5627753,Male,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
5627748,Male,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
7627752,Male,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
5627752,Male,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
7212533,Female,1,Working,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,382500.0
5927603,Female,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,382500.0
5927605,Female,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,382500.0
6261453,Female,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,382500.0
6212531,Female,1,Working,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,382500.0
6261452,Female,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,382500.0
6261446,Female,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,382500.0
6107609,Female,1,Working,Higher education,Married,House / apartment,Core staff,360000.0
5833688,Female,1,Working,Higher education,Married,House / apartment,Core staff,360000.0
6021561,Female,1,Working,Higher education,Married,House / apartment,Medicine staff,360000.0
7833708,Female,1,Working,Higher education,Married,House / apartment,Core staff,360000.0
5833697,Female,1,Working,Higher education,Married,House / apartment,Core staff,360000.0
5833706,Female,1,Working,Higher education,Married,House / apartment,Core staff,360000.0
